REGIONAL,MEDIO DE  RECEPCION,TIPO DE AFECTACION,RECURSO AFECTADO,MUNICIPIO,Periodo
Valles,Pagina Web,MOVIMIENTO DE TIERRAS,SUELO,RIONEGRO,2021
Aguas,Correo electrónico,CONTAMINACIÓN POR VERTIMIENTOS,SUELO,GUATAPÉ,2021
Valles,Correo electrónico,TALA BOSQUE NATURAL NATIVO,FLORA,GUARNE,2021
Bosques,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN FRANCISCO,2021
Bosques,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,PUERTO TRIUNFO,2021
Bosques,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN LUIS,2021
Valles,Correo electrónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN VICENTE,2021
Valles,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,SAN VICENTE,2021
Aguas,Pagina Web,CONTAMINACION DEL AGUA,AGUA,SAN CARLOS,2021
Valles,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,MARINILLA,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,LA UNIÓN,2021
Paramo,Telefónico,CONTAMINACIÓN POR VERTIMIENTOS,AGUA,SONSÓN,2021
Aguas,Telefónico,CONTAMINACION DEL AGUA,AGUA,GUATAPÉ,2021
Aguas,Telefónico,CONTAMINACIÓN POR VERTIMIENTOS,SUELO,EL PEÑOL,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,RIONEGRO,2021
Porce,Pagina Web,OLORES,AIRE,SANTO DOMINGO,2021
Porce,Pagina Web,INTERVENCIÓN  DE CAUCE,AGUA,SANTO DOMINGO,2021
Bosques,Telefónico,INTERVENCIÓN  DE CAUCE,AGUA,SAN LUIS,2021
Bosques,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN FRANCISCO,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,EL CARMEN,2021
Valles,Correo electrónico,TALA BOSQUE NATURAL NATIVO,FLORA,LA CEJA,2021
Porce,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,SAN ROQUE,2021
Valles,Correo electrónico,CONTAMINACION DEL AGUA,AGUA,EL SANTUARIO,2021
Valles,Correo electrónico,INTERVENCIÓN  DE CAUCE,AGUA,RIONEGRO,2021
Valles,Correo electrónico,CONTAMINACIÓN POR VERTIMIENTOS,AGUA,LA CEJA,2021
Paramo,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,NARIÑO,2021
Paramo,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,NARIÑO,2021
Valles,Pagina Web,MOVIMIENTO DE TIERRAS,SUELO,RIONEGRO,2021
Porce,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,SANTO DOMINGO,2021
Bosques,Telefónico,CONTAMINACIÓN POR VERTIMIENTOS,SUELO,SAN FRANCISCO,2021
Aguas,Telefónico,CONTAMINACIÓN POR VERTIMIENTOS,SUELO,SAN RAFAEL,2021
Aguas,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN CARLOS,2021
Aguas,Telefónico,INTERVENCIÓN  DE CAUCE,AGUA,SAN CARLOS,2021
Aguas,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN CARLOS,2021
Aguas,Telefónico,CONTAMINACIÓN POR VERTIMIENTOS,SUELO,SAN RAFAEL,2021
Bosques,Telefónico,MINERIA,SUELO,PUERTO TRIUNFO,2021
Valles,Pagina Web,CONTAMINACIÓN POR VERTIMIENTOS,AGUA,RIONEGRO,2021
Porce,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,CONCEPCIÓN,2021
Aguas,Telefónico,CONTAMINACIÓN POR VERTIMIENTOS,AGUA,SAN CARLOS,2021
Porce,Pagina Web,MINERIA,AGUA,SAN ROQUE,2021
Aguas,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN RAFAEL,2021
Valles,Telefónico,MOVIMIENTO DE TIERRAS,AGUA,GUARNE,2021
Aguas,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN RAFAEL,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,RIONEGRO,2021
Valles,Telefónico,TALA O PODA ARBOLES,FLORA,EL RETIRO,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,GUARNE,2021
Valles,Telefónico,RETIRO A FUENTES HÍDRICAS,AGUA,GUARNE,2021
Valles,Pagina Web,CONFLICTOS POR USO DEL AGUA,AGUA,MARINILLA,2021
Valles,Correo electrónico,MOVIMIENTO DE TIERRAS,SUELO,SAN VICENTE,2021
Valles,Correo electrónico,CONTAMINACION DEL AGUA,AGUA,EL CARMEN,2021
Valles,Pagina Web,OLORES,AIRE,EL RETIRO,2021
Aguas,Telefónico,CONFLICTOS POR USO DEL AGUA,AGUA,SAN RAFAEL,2021
Bosques,Correo electrónico,MINERIA,SUELO,SAN LUIS,2021
Valles,Telefónico,CONTAMINACIÓN POR VERTIMIENTOS,AGUA,RIONEGRO,2021
Bosques,Pagina Web,USO ILEGAL DEL AGUA,AGUA,SAN LUIS,2021
Porce,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,SAN ROQUE,2021
Valles,Correo electrónico,TALA BOSQUE NATURAL NATIVO,FLORA,LA CEJA,2021
Valles,Correo electrónico,MOVIMIENTO DE TIERRAS,AGUA,EL SANTUARIO,2021
Valles,Correo electrónico,TALA BOSQUE NATURAL NATIVO,FLORA,GUARNE,2021
Valles,Correo electrónico,TALA BOSQUE NATURAL NATIVO,FLORA,GUARNE,2021
Valles,Telefónico,CONTAMINACIÓN POR VERTIMIENTOS,SUELO,EL CARMEN,2021
Aguas,Correo electrónico,CONTAMINACIÓN POR VERTIMIENTOS,SUELO,GUATAPÉ,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,RIONEGRO,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,GUARNE,2021
Porce,Telefónico,RETIRO A FUENTES HÍDRICAS,AGUA,SAN ROQUE,2021
Aguas,Pagina Web,MINERIA,AGUA,SAN RAFAEL,2021
Valles,Telefónico,CONTAMINACION DEL AGUA,AGUA,RIONEGRO,2021
Bosques,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN LUIS,2021
Bosques,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN LUIS,2021
Porce,Pagina Web,QUEMAS,AIRE,SANTO DOMINGO,2021
Porce,Pagina Web,CONTAMINACIÓN POR VERTIMIENTOS,AGUA,SAN ROQUE,2021
Valles,Correo electrónico,CONTAMINACIÓN POR VERTIMIENTOS,SUELO,EL RETIRO,2021
Valles,Telefónico,INTERVENCIÓN  DE CAUCE,AGUA,RIONEGRO,2021
Valles,Pagina Web,CONTAMINACIÓN POR VERTIMIENTOS,AGUA,LA UNIÓN,2021
Valles,Pagina Web,CONTAMINACIÓN POR VERTIMIENTOS,AGUA,EL CARMEN,2021
Aguas,Telefónico,MINERIA,AGUA,EL PEÑOL,2021
Aguas,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN CARLOS,2021
